action,price,amount,usdc_balance,sol_balance,,,,,,,
buy,0.5466,1828.120311,0,1828.120311,,,,,,,
sell,0.7956,1828.120311,1453.416222,0,,,,,,,
buy,2.6289,552.4466419,0,552.4466419,,,,,,,
sell,4.0329,552.4466419,2226.374639,0,,,,,,,macd_threshold                                                      0.2
buy,30.9535,71.872522,0,71.872522,,,,,,,"rsi_buy_range                                                  (25, 45)"
sell,161.374,71.872522,11590.09254,0,,,,,,,"rsi_sell_range                                                 (55, 75)"
buy,93.4045,123.9919541,-1.82E-12,123.9919541,,,,,,,bb_multiplier_buy                                                  1.07
sell,42.1568,123.9919541,5223.379701,0,,,,,,,bb_multiplier_sell                                                  0.9
buy,31.0888,167.8889215,0,167.8889215,,,,,,,final_balance                                               6318.934355
sell,26.1777,167.8889215,4391.814421,0,,,,,,,profit                                                      5318.934355
buy,20.0426,218.9597671,9.09E-13,218.9597671,,,,,,,
sell,23.3748,218.9597671,5114.494089,0,,,,,,,
buy,20.6567,247.4093681,-9.09E-13,247.4093681,,,,,,,
sell,24.3846,247.4093681,6028.67998,0,,,,,,,
buy,22.8464,263.6810114,-9.09E-13,263.6810114,,,,,,,
sell,23.9814,263.6810114,6318.934355,0,,,,,,,
